formation,holding,quantile,residualize,spread_mult,rebalance_every,tier,n_periods,avg_names,gross_sharpe,net_sharpe,gross_mean_bps,net_mean_bps,gross_ann_return,net_ann_return,avg_turnover,avg_cost_bps,mean_ic,net_max_drawdown,hit_rate
3,12,0.1,none,0.5,12,T1_liquid,622,19.04823151125402,-0.14591816734753216,-0.9633938039292109,-3.2736046083512202,-21.60709774191469,-0.05974328410240977,-0.39432953378994307,1.7007676094894748,18.33349313356347,-0.010301116558981062,-0.8106894937257877,0.4855305466237942
3,12,0.1,none,0.5,12,T2_mid,622,18.990353697749196,1.0519120920784784,-0.09514728274547102,22.214860614082937,-2.009455344944637,0.4054212062070136,-0.03667256004523962,1.7602172969938243,24.224315959027575,-0.029347274554698762,-0.4839053039996899,0.5096463022508039
3,12,0.1,none,0.5,12,T3_illiquid,622,18.94855305466238,1.7156513163186122,0.06530242073091506,36.61228992488906,1.394304612706602,0.6681742911292254,0.02544605918189549,1.7815164158813677,35.21798531218245,-0.054052997940791915,-0.5059909511542331,0.4919614147909968
3,12,0.2,demean,0.5,12,T1_liquid,622,39.167202572347264,-0.12159714878319738,-1.2873343779988098,-1.730049333434596,-18.31617089594571,-0.03157340033518138,-0.3342701188510092,1.537118247238296,16.58612156251112,-0.010301116558981062,-0.7252143509515507,0.4517684887459807
3,12,0.2,demean,0.5,12,T2_mid,622,39.032154340836016,0.8624274066350989,-0.7183325869079688,12.010998803028128,-10.000072327329544,0.21920072815526334,-0.18250131997376418,1.5937180393401895,22.011071130357678,-0.029347274554698762,-0.5374835938597213,0.4678456591639871
3,12,0.2,demean,0.5,12,T3_illiquid,622,38.91961414790997,1.746992006394871,-0.6726713879116377,22.860239084961215,-8.809623324649266,0.4171993633005422,-0.1607756256748491,1.5988496171813014,31.669862409610474,-0.054052997940791915,-0.49924262438179257,0.4646302250803859
3,12,0.2,none,0.5,12,T1_liquid,622,39.167202572347264,-0.12159714878319738,-1.2873343779988098,-1.730049333434596,-18.31617089594571,-0.03157340033518138,-0.3342701188510092,1.537118247238296,16.58612156251112,-0.010301116558981062,-0.7252143509515507,0.4517684887459807
3,12,0.2,none,0.5,12,T2_mid,622,39.032154340836016,0.8624274066350989,-0.7183325869079688,12.010998803028128,-10.000072327329544,0.21920072815526334,-0.18250131997376418,1.5937180393401895,22.011071130357678,-0.029347274554698762,-0.5374835938597213,0.4678456591639871
3,12,0.2,none,0.5,12,T3_illiquid,622,38.91961414790997,1.746992006394871,-0.6726713879116377,22.860239084961215,-8.809623324649266,0.4171993633005422,-0.1607756256748491,1.5988496171813014,31.669862409610474,-0.054052997940791915,-0.49924262438179257,0.4646302250803859
3,12,0.3,demean,0.5,12,T1_liquid,622,59.054662379421224,-0.08875630450757413,-1.4501147391774334,-0.9732279205841103,-15.905470713631141,-0.017761409550660013,-0.29027484052376834,1.3829029041453351,14.932242793047031,-0.010301116558981062,-0.6556284156862164,0.4565916398713826
3,12,0.3,demean,0.5,12,T2_mid,622,58.72990353697749,0.6140015638429711,-1.1759497850158351,6.778350434105848,-12.981338675358883,0.12370489542243172,-0.2369094308252996,1.4277232661217976,19.759689109464734,-0.029347274554698762,-0.5784694409318245,0.45980707395498394
3,12,0.3,demean,0.5,12,T3_illiquid,622,58.51768488745981,1.6553373236057543,-0.8977661521830833,18.280608956240812,-9.917935187592787,0.3336211134513948,-0.18100231717356838,1.422996756728159,28.1985441438336,-0.054052997940791915,-0.5237704080803269,0.4678456591639871
3,12,0.3,none,0.5,12,T1_liquid,622,59.054662379421224,-0.08875630450757413,-1.4501147391774334,-0.9732279205841103,-15.905470713631141,-0.017761409550660013,-0.29027484052376834,1.3829029041453351,14.932242793047031,-0.010301116558981062,-0.6556284156862164,0.4565916398713826
